"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"mid-mid-speed-density"
"08/14/2019 11:56:22:883 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","speed-reporter","count turtles / sidewalk-width / 30","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"5","6","1000","0.05","bus flag","8","1.1613149368057498","0.02777777777777778","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","5","1.0655180545416347","0.02777777777777778","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","8","1.0715529197487417","0.02777777777777778","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","11","0.946132574633694","0.02222222222222222","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","9","1.1069315582979586","0.02777777777777778","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","6","1.1452985779522646","0.03333333333333333","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","9","1.0616528561507352","0.02222222222222222","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","8","1.1971262761379597","0.02777777777777778","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","9","1.1613149394239097","0.02777777777777778","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","9","1.0674738568432893","0.02777777777777778","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","6","1.0633769115592349","0.03333333333333333","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","12","1.010422513246106","0.02777777777777778","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","10","1.1069315582979584","0.02777777777777778","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","10","1.0098960582342813","0.02777777777777778","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","9","1.197126276642472","0.02777777777777778","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","10","1.161314939774692","0.02777777777777778","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","7","1.0705441948439078","0.03888888888888889","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","13","1.010422513246106","0.02777777777777778","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","10","1.0673113302589505","0.02777777777777778","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","11","1.1069315582979586","0.02777777777777778","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","7","1.0614354534080943","0.03888888888888889","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","11","1.0098960582342813","0.02777777777777778","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","11","1.1587397135389423","0.03333333333333333","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","10","1.1971262767101871","0.02777777777777778","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","14","1.0410232421653798","0.03333333333333333","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","11","1.0673084117359584","0.02777777777777778","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","12","1.1084805161166174","0.03888888888888889","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","8","1.063451770838741","0.03888888888888889","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","12","1.0098960582342815","0.02777777777777778","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","12","1.15873971354419","0.03333333333333333","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","11","1.202371625694733","0.03333333333333333","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","8","1.0611273403609864","0.04444444444444444","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","15","1.0410232421653798","0.03333333333333333","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","12","1.0575973931060663","0.03333333333333333","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","13","1.0472915864145447","0.03333333333333333","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","13","1.1080107010760893","0.03888888888888889","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","9","1.0633204132191314","0.03888888888888889","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","13","1.158739713544893","0.03333333333333333","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","12","1.1939578335652754","0.03888888888888889","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","9","1.0611273403609316","0.04444444444444444","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","16","1.0503987019828485","0.03888888888888889","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","13","1.0547600139760287","0.03888888888888889","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","14","1.1079424506779298","0.03888888888888889","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","14","1.0635821352806778","0.05","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","14","1.158739713544987","0.03333333333333333","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","10","1.0806589737116208","0.04444444444444444","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","13","1.1673815554172746","0.04444444444444444","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","14","1.0547019477352693","0.03888888888888889","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","17","1.0503987019828485","0.03888888888888889","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","10","1.0608741653781237","0.05","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","15","1.0093955442220892","0.05","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","15","1.0561537443784266","0.03888888888888889","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","15","1.077407118419861","0.05555555555555556","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","11","1.080513435700538","0.04444444444444444","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","15","1.0547009051995613","0.03888888888888889","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","18","1.0503987019828485","0.03888888888888889","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","16","1.0061073382193837","0.03888888888888889","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","14","1.1680544170821663","0.05555555555555556","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","16","1.0093955271130843","0.05","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","11","1.068240716097646","0.05555555555555556","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","16","1.0547008864853995","0.03888888888888889","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","16","1.077383770498412","0.05555555555555556","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","12","1.080464661548046","0.04444444444444444","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","19","1.0503987019828487","0.03888888888888889","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","17","0.9842461230456203","0.05","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","17","1.0177814111971153","0.05555555555555556","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","15","1.1680544170821678","0.05555555555555556","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","17","1.055632614727155","0.05","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","12","1.068240716097646","0.05555555555555556","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","20","1.0402227069947638","0.04444444444444444","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","13","1.0804637864531383","0.04444444444444444","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","18","0.9251968644305362","0.05","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","17","1.0773833513471125","0.05555555555555556","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","21","1.027276389717311","0.04444444444444444","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","18","1.0339529686526332","0.06111111111111111","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","18","1.0646044598612128","0.05555555555555556","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","14","1.0804637708214593","0.04444444444444444","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","19","0.9669063721155428","0.05","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","16","1.159933277911243","0.06111111111111111","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","13","1.0706240394282036","0.06111111111111111","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","18","1.0758929044799364","0.05555555555555556","0","0","0","0","0","0"
"6","6","1000","0.05","bus flag","22","1.0382182044507704","0.04444444444444444","0","0","0","0","0","0"
"4","6","1000","0.05","bus flag","19","1.0551630785689872","0.05555555555555556","0","0","0","0","0","0"
"5","6","1000","0.05","bus flag","20","0.974786460320673","0.05","0","0","0","0","0","0"
"2","6","1000","0.05","bus flag","15","1.0804001678686384","0.04444444444444444","0","0","0","0","0","0"
"7","6","1000","0.05","bus flag","19","1.033952968652552","0.06111111111111111","0","0","0","0","0","0"
"3","6","1000","0.05","bus flag","14","1.0706240394282036","0.06111111111111111","0","0","0","0","0","0"
"1","6","1000","0.05","bus flag","19","1.0771669998985705","0.05555555555555556","0","0","0","0","0","0"
"8","6","1000","0.05","bus flag","17","1.159966205513711","0.06111111111111111","0","0","0","0","0","0"
