"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"flow-on-x-8"
"08/16/2019 14:23:13:955 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"8","8","100","0.05","bus flag","36000","0.27175227277041925","0.3406799659047781","0.22580047734751338","4","0.5","1"
"3","8","100","0.05","bus flag","36000","0.2642234064413408","0","0.2642234064413408","2","0","0.4"
"5","8","100","0.05","bus flag","36000","0.6552885170188404","0.4312055274545301","0.7113092644099179","6","1","1.25"
"4","8","100","0.05","bus flag","36000","0.24013766739389694","-0.0032791920283088416","0.3009918822494484","2","0","0.5"
"2","8","100","0.05","bus flag","36000","0.07170150527999652","0.19188708654446884","0.05453213652792905","2","1","0.14285714285714285"
"1","8","100","0.05","bus flag","36000","0.9156289754481725","-1.9515082415466622E-4","1.0682663298268935","6","0","1"
"7","8","100","0.05","bus flag","36000","0.03377062490509264","-0.0022945544914065863","0.04579235137059238","4","0","1.3333333333333333"
"12","8","100","0.05","backing road","36000","0.21340904036534808","1.0754762856241697","-0.002107770949357324","1","1","0"
"6","8","100","0.05","bus flag","36000","1.3663535066544208","0.5230037787333828","1.5771909386346803","20","2","1.1666666666666667"
"10","8","100","0.05","bus flag","36000","0.29461479325819945","-0.0018560132757698966","0.34402659434719435","3","0","0.5"
"9","8","100","0.05","bus flag","36000","0.4350632735898916","0.6282657028972002","0.3191418160055065","8","1.3333333333333333","0.8"
"14","8","100","0.05","backing road","36000","-0.0035089306560793787","0","-0.0035089306560793787","0","0","0"
"11","8","100","0.05","backing road","36000","0.7724755249626938","1.7779332942954653","0.5713839710961395","10","2","1.6"
"13","8","100","0.05","backing road","36000","0.5991137533014425","1.253961586952368","0.4120143722583209","4","0.5","0.42857142857142855"
"16","8","100","0.05","backing road","36000","0.27299374858129966","0","0.27299374858129966","4","0","0.5714285714285714"
"15","8","100","0.05","backing road","36000","0.47988186099676483","0","0.47988186099676483","7","0","0.6363636363636364"
"18","8","100","0.05","backing road","36000","0.4770527146848173","0.38382132405097025","0.6635154959525114","0","0","0"
"17","8","100","0.05","backing road","36000","0.29817045569847106","0.22789164931826633","0.33330985888857345","4","1.5","0.25"
"21","8","100","0.05","backing footway","36000","0.31847172551056957","0.6156494968116455","0.12035321130985228","3","1.5","0"
"22","8","100","0.05","backing footway","36000","0.480386781540257","-5.193399867735593E-4","0.5765680058456631","0","0","0"
"23","8","100","0.05","backing footway","36000","0.43110642694856605","-0.003381277358016632","0.5759356617174269","0","0","0"
"20","8","100","0.05","backing road","36000","-0.001847450518647431","0","-0.001847450518647431","4","0","0.5"
"26","8","100","0.05","backing footway","36000","0.5236332693855511","-0.002054345521832701","1.5750084992003188","0","0","0"
"25","8","100","0.05","backing footway","36000","0.33117953968957536","-0.00413807632545371","0.4988383476970899","0","0","0"
"19","8","100","0.05","backing road","36000","0.25208141091411296","0","0.25208141091411296","3","0","0.75"
"24","8","100","0.05","backing footway","36000","0.5652277226156729","1.028685339346623","0.43281126069254433","3","0.5","0.2857142857142857"
"29","8","100","0.05","backing footway","36000","0.40149998486220184","0","0.40149998486220184","2","0","0.4"
"27","8","100","0.05","backing footway","36000","0.5747797712993883","1.1515720080203309","0.49238088033925365","6","1","0.7142857142857143"
"31","8","100","0.05","backing building","36000","-0.002232947525987091","-9.077966215897959E-5","-0.002661381098752713","2","1","0.2"
"28","8","100","0.05","backing footway","36000","1.4805848848292622","2.2120976986862892","1.2367472802102533","10","2","1"
"33","8","100","0.05","backing building","36000","0.6363411673737781","0","0.6363411673737781","14","0","1.1666666666666667"
"35","8","100","0.05","backing building","36000","0.11989195586159429","-0.002107982547936871","0.19309191890731298","1","0","0.2"
"36","8","100","0.05","backing building","36000","0.007315030286333031","-0.004977689902588622","0.008851620309948238","4","0","0.5"
"38","8","100","0.05","backing building","36000","0.20762006317826617","0","0.20762006317826617","5","0","1"
"37","8","100","0.05","backing building","36000","0.15464186479490705","0.13649642794707617","0.160690343744184","4","1.5","0.16666666666666666"
"30","8","100","0.05","backing footway","36000","0.5591907028442032","0","0.5591907028442032","11","0","1"
"32","8","100","0.05","backing building","36000","1.0833855964243304","0.59194516882233","1.3291058102253306","14","1","1.8333333333333333"
"34","8","100","0.05","backing building","36000","0.16204418268726986","-0.0025878877165190772","0.18948286108790136","12","1","0.8333333333333334"
"39","8","100","0.05","backing building","36000","0.3667357937036921","0.3511410836621316","0.3745331487244723","4","1.5","0.25"
"40","8","100","0.05","backing building","36000","0.27915930658783494","0.9715863986259308","0.1637547912481523","2","1","0.16666666666666666"
"45","8","200","0.05","bus flag","36000","0.12057848141398318","-0.00324029376350173","0.16701052210554002","4","0.3333333333333333","0.375"
"43","8","200","0.05","bus flag","36000","0.22551917154384146","0.653209760823349","0.10887628355852125","14","2","0.7272727272727273"
"47","8","200","0.05","bus flag","36000","0.4144434223378638","0.39415959688055935","0.42023880103995076","7","1.5","0.5714285714285714"
"42","8","200","0.05","bus flag","36000","0.6237962191187001","0.1196533781698017","0.8478597039848772","19","2.25","1.1111111111111112"
"48","8","200","0.05","bus flag","36000","0.4620517403096266","1.3229136757703301","0.395831591428034","16","3","1"
"41","8","200","0.05","bus flag","36000","0.2765827373586989","0.30631230540278587","0.27200895765960864","25","1.5","1.6923076923076923"
"46","8","200","0.05","bus flag","36000","0.5133505319433888","1.4391756572616974","0.32818550687972703","35","3.6666666666666665","1.6"
"44","8","200","0.05","bus flag","36000","0.9149389919843379","1.6448424370092425","0.5499872694718857","24","2.2","1.3"
"50","8","200","0.05","bus flag","36000","0.04273283676472251","-8.167550654452072E-4","0.0494327739693637","16","3.5","0.6923076923076923"
"54","8","200","0.05","backing road","36000","0.410064477096733","0","0.410064477096733","13","0","1.0833333333333333"
"49","8","200","0.05","bus flag","36000","0.11567181710809636","0.14134059327266138","0.11085892157724042","29","2","1.4375"
"51","8","200","0.05","backing road","36000","0.692216189893143","3.3177076689389935","0.4734252333059888","20","1","1.5833333333333333"
"53","8","200","0.05","backing road","36000","0.7907351187571786","0.48575812942207836","0.8669793660909537","27","2","1.75"
"55","8","200","0.05","backing road","36000","0.16488319362394588","0.01655543234153593","0.1991126769968097","20","1.3333333333333333","1.2307692307692308"
"52","8","200","0.05","backing road","36000","0.7016910281503475","0.18735470655580855","0.7250699518591901","51","3","2.1818181818181817"
"56","8","200","0.05","backing road","36000","0.7678276297207963","1.3851335435589966","0.5209052641855163","25","2","1.7"
"60","8","200","0.05","backing road","36000","0.5844906147678582","-0.004637326880782666","0.6499492749510405","12","1","1.2222222222222223"
