"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"flow-on-x-6"
"08/16/2019 02:30:31:718 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"7","6","100","0.05","bus flag","36000","0.053165710752608085","-7.749413570650177E-4","0.0639538411745427","0","0","0"
"3","6","100","0.05","bus flag","36000","-0.0025242881598401823","0","-0.0025242881598401823","2","0","0.5"
"8","6","100","0.05","bus flag","36000","0.3226563465641803","-0.0038663263205478415","0.3770767920449683","4","0","0.6666666666666666"
"4","6","100","0.05","bus flag","36000","-0.0017224604148697864","0","-0.0017224604148697864","3","0","0.75"
"6","6","100","0.05","bus flag","36000","0.49948650905279157","0.4208644102879262","0.5107182374477723","5","1","0.5714285714285714"
"5","6","100","0.05","bus flag","36000","0.1429811874054483","0.14007017329368074","0.1442287648819201","10","0.6666666666666666","1.1428571428571428"
"2","6","100","0.05","bus flag","36000","0.13569565385676308","-0.0025527372052565056","0.15544542400848016","5","1","0.5714285714285714"
"9","6","100","0.05","bus flag","36000","0.5723835996581805","0.8200384602009976","0.5104698845224762","10","2","2"
"1","6","100","0.05","bus flag","36000","0.438674313498844","0.3419378875566288","0.47091978881291574","11","2","1.1666666666666667"
"14","6","100","0.05","backing road","36000","0.1098965108892493","0","0.1098965108892493","2","0","0.4"
"13","6","100","0.05","backing road","36000","0.23353824990075486","0","0.23353824990075486","3","0","0.5"
"10","6","100","0.05","bus flag","36000","0.007789425643211294","-0.0027449488928326105","0.009545154732551945","3","1","0.3333333333333333"
"11","6","100","0.05","backing road","36000","0.13896133127201704","0","0.13896133127201704","4","0","1"
"15","6","100","0.05","backing road","36000","0.9018986225479069","-0.00223033364825298","1.1279308615969468","2","0","0.5"
"17","6","100","0.05","backing road","36000","0.5668776509323061","1.0539601854698581","0.07979511639475412","3","0.5","1"
"12","6","100","0.05","backing road","36000","2.178255235971278","0","2.178255235971278","7","0","0.7777777777777778"
"18","6","100","0.05","backing road","36000","0.4290820411246141","1.2350408409350848","0.3139450697231183","4","2","0.2857142857142857"
"19","6","100","0.05","backing road","36000","0.06504928763806861","0","0.06504928763806861","1","0","0.125"
"16","6","100","0.05","backing road","36000","0.32366769281393326","0.31327559684098816","0.327131724804915","14","1.5","1.8333333333333333"
"22","6","100","0.05","backing footway","36000","0.6872470838339851","0","0.6872470838339851","5","0","0.5555555555555556"
"23","6","100","0.05","backing footway","36000","0.6108999324457246","0","0.6108999324457246","7","0","1.1666666666666667"
"20","6","100","0.05","backing road","36000","0.636071030616786","0.9595378887719926","0.4974423771216974","6","0","0.8571428571428571"
"21","6","100","0.05","backing footway","36000","1.2229858966400498","0","1.2229858966400498","16","0","1.7777777777777777"
"24","6","100","0.05","backing footway","36000","0.47850599614486217","0.5756618309661725","0.4590748291806001","4","1","0.6"
"25","6","100","0.05","backing footway","36000","0.3543148790651622","0.25275508722023804","0.4304847229488553","7","1","1"
"26","6","100","0.05","backing footway","36000","0.43407484959044995","0","0.43407484959044995","2","0","0.4"
"28","6","100","0.05","backing footway","36000","2.0838038583874336","1.6110662725520655","2.1625934560266615","15","3","2"
"27","6","100","0.05","backing footway","36000","1.3546390155829928","1.170376034160455","1.3809622986433554","23","4","2.7142857142857144"
"33","6","100","0.05","backing building","36000","0.4194554102346129","0.9511002145726266","0.3529998096923612","6","0","0.75"
"30","6","100","0.05","backing footway","36000","1.1882776903301338","3.6975132723624","0.8298154643255243","10","2","1.1428571428571428"
"31","6","100","0.05","backing building","36000","0.7440597937591572","0.6978287205919163","0.7625522230260536","8","1","1.2"
"32","6","100","0.05","backing building","36000","0.21027544542755486","0.8014510151816268","0.15115788845214767","14","5","0.9"
"29","6","100","0.05","backing footway","36000","0.334421708400179","0","0.334421708400179","2","0","0.3333333333333333"
"34","6","100","0.05","backing building","36000","0.8835653315873055","1.0084341213807484","0.8086440577112398","12","1.3333333333333333","1.6"
"37","6","100","0.05","backing building","36000","-0.0032612914084827103","0","-0.0032612914084827103","2","0","0.6666666666666666"
"36","6","100","0.05","backing building","36000","0.4577656581101489","0","0.4577656581101489","4","0","0.5714285714285714"
"35","6","100","0.05","backing building","36000","0.4012828244751098","-0.002714063647651699","0.5022820465058002","11","2","2.25"
"40","6","100","0.05","backing building","36000","0.09051500686808112","0","0.09051500686808112","4","0","0.8"
"39","6","100","0.05","backing building","36000","0.7472896572807824","0.6857906491794594","0.7549770332934478","13","4","1.125"
"38","6","100","0.05","backing building","36000","0.8826325760914733","1.050253315687281","0.7820601323339886","22","3","2.6"
"41","6","200","0.05","bus flag","36000","1.1682506104329977","0.6203718989291076","1.2139071697249886","24","2","1.8333333333333333"
"46","6","200","0.05","bus flag","36000","0.46260312071351567","0.7625842679914191","0.3726087765301447","21","2.6666666666666665","1.3"
"42","6","200","0.05","bus flag","36000","0.53338675170281","-0.0019434835477269985","0.5869197752278638","17","1","1.6"
"43","6","200","0.05","bus flag","36000","0.3502128106693424","0.018936535896152407","0.44959569310129943","33","2.6666666666666665","2.5"
"45","6","200","0.05","bus flag","36000","0.2961771487224889","0.21097080970672977","0.3092858162633749","15","0.5","1.0769230769230769"
"47","6","200","0.05","bus flag","36000","0.26182549030163976","0","0.26182549030163976","7","0","1"
"50","6","200","0.05","bus flag","36000","0.2176559171607997","0.1642708881260786","0.23900992877468816","16","1.25","1.1"
"44","6","200","0.05","bus flag","36000","1.2992579622003673","1.0953218024482865","1.3592391856568617","79","4.4","3.3529411764705883"
"52","6","200","0.05","backing road","36000","0.9059128945008096","1.1309825856623672","0.8445302514567484","40","4","2.5454545454545454"
"48","6","200","0.05","bus flag","36000","0.7123014299514325","-0.003433824600655555","0.8017683367704436","17","1","2"
"51","6","200","0.05","backing road","36000","1.3663899118256932","2.5157421150632544","1.0598959909623435","41","3.75","1.7333333333333334"
"54","6","200","0.05","backing road","36000","0.37122558757427143","0.1628094649715841","0.4175402814859797","31","2","3"
"49","6","200","0.05","bus flag","36000","6.581193440092065","2.4238231684254643","6.900991153297189","39","1","2.923076923076923"
"57","6","200","0.05","backing road","36000","0.8724963010787187","0.09948722294821266","0.9319585378579884","31","3","2.1538461538461537"
"59","6","200","0.05","backing road","36000","0.30690761259720795","0.11201732535791287","0.33938932713709047","26","2","1.8333333333333333"
"53","6","200","0.05","backing road","36000","0.8980294359871697","1.7732364539512986","0.6287349689212838","41","4","1.9230769230769231"
"60","6","200","0.05","backing road","36000","0.8982190196782717","1.7539948258592943","0.7555897186481012","14","2","0.8333333333333334"
"58","6","200","0.05","backing road","36000","1.225422929150318","1.4974433014937094","1.1438168174473007","28","2.6666666666666665","2"
