"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"narrow-mid-speed-density"
"08/13/2019 21:54:54:222 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","speed-reporter","count turtles / sidewalk-width / 30","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"2","4","1000","0.05","bus flag","8","1.1075915580307434","0.041666666666666664","0","0","0","0","0","0"
"8","4","1000","0.05","bus flag","8","0.9657742644539851","0.03333333333333333","0","0","0","0","0","0"
"6","4","1000","0.05","bus flag","9","1.1566839494624546","0.016666666666666666","0","0","0","0","0","0"
"1","4","1000","0.05","bus flag","9","0.8754145835367942","0.016666666666666666","0","0","0","0","0","0"
"5","4","1000","0.05","bus flag","7","1.121889342066256","0.05","0","0","0","0","0","0"
"7","4","1000","0.05","bus flag","10","1.11377817964918","0.03333333333333333","0","0","0","0","0","0"
"6","4","1000","0.05","bus flag","10","1.1566839494623578","0.016666666666666666","0","0","0","0","0","0"
"2","4","1000","0.05","bus flag","9","1.1075915580307434","0.041666666666666664","0","0","0","0","0","0"
"3","4","1000","0.05","bus flag","7","1.0557125990102365","0.041666666666666664","0","0","0","0","0","0"
"1","4","1000","0.05","bus flag","10","0.8754145835367942","0.016666666666666666","0","0","0","0","0","0"
"4","4","1000","0.05","bus flag","7","1.0326590812297745","0.05","0","0","0","0","0","0"
"6","4","1000","0.05","bus flag","11","1.1071158879465257","0.025","0","0","0","0","0","0"
"7","4","1000","0.05","bus flag","11","1.1137813701994728","0.03333333333333333","0","0","0","0","0","0"
"1","4","1000","0.05","bus flag","11","0.9732819723379492","0.025","0","0","0","0","0","0"
"8","4","1000","0.05","bus flag","9","0.9907296764413619","0.041666666666666664","0","0","0","0","0","0"
"6","4","1000","0.05","bus flag","12","1.1071158879465257","0.025","0","0","0","0","0","0"
"5","4","1000","0.05","bus flag","8","1.1185797365871457","0.05","0","0","0","0","0","0"
"2","4","1000","0.05","bus flag","10","1.0979299069050736","0.05","0","0","0","0","0","0"
"3","4","1000","0.05","bus flag","8","1.0557125998852244","0.041666666666666664","0","0","0","0","0","0"
"4","4","1000","0.05","bus flag","8","1.0414904725730494","0.058333333333333334","0","0","0","0","0","0"
"7","4","1000","0.05","bus flag","12","1.113781808646631","0.03333333333333333","0","0","0","0","0","0"
