"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"flow-on-x-4"
"08/14/2019 12:35:41:269 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"2","4","100","0.05","bus flag","1","0.07429743835596181","0","0.07429743835596181","3","0","0.75"
"5","4","100","0.05","bus flag","1","0.26049821531769835","0","0.26049821531769835","7","0","1.4"
"3","4","100","0.05","bus flag","1","0.22445340743423214","0","0.22445340743423214","11","0","1.375"
"8","4","100","0.05","bus flag","1","0.19065928697391396","-0.0048542380688871845","0.2232448744810475","7","0","1.1666666666666667"
"10","4","100","0.05","bus flag","1","0.5989962223238567","0","0.5989962223238567","4","0","2"
"12","4","100","0.05","backing road","1","0.7512547128053761","0","0.7512547128053761","6","0","1.2"
"7","4","100","0.05","bus flag","1","0.425905007725271","0.9810504952448973","0.20384681271742053","11","2.5","1.2"
"6","4","100","0.05","bus flag","1","1.748040890925796","0","1.748040890925796","25","0","2.5"
"9","4","100","0.05","bus flag","1","0.16335988752719288","0","0.16335988752719288","0","0","0"
"4","4","100","0.05","bus flag","1","1.7555323972682524","2.3996223112655954","1.5715067075547258","22","3.5","2.142857142857143"
"1","4","100","0.05","bus flag","1","0.9722079031617764","1.5410157093211012","0.9153271225458439","26","2","2.4"
"13","4","100","0.05","backing road","1","0.41093096464095896","-0.0025583171696368368","0.6176756055462569","2","0","1"
"11","4","100","0.05","backing road","1","1.5324232817833763","0","1.5324232817833763","11","0","1.375"
"15","4","100","0.05","backing road","1","1.38897651626595","1.4390050403529138","1.3764693852442091","7","2","1.25"
"17","4","100","0.05","backing road","1","0.17105119130662313","0","0.17105119130662313","2","0","0.2857142857142857"
"16","4","100","0.05","backing road","1","0.6817462135290047","0.5356499610899377","0.710965464016818","13","4","1.8"
"19","4","100","0.05","backing road","1","0.6110592483097994","0","0.6110592483097994","8","0","1"
"20","4","100","0.05","backing road","1","1.176532613487678","0","1.176532613487678","8","0","1.6"
"18","4","100","0.05","backing road","1","0.5901124330016145","0.2576544486206771","0.7563414251920832","8","2","1"
"22","4","100","0.05","backing footway","1","1.6338698251209038","2.106055203003052","1.4764746991601878","2","1","0.3333333333333333"
"14","4","100","0.05","backing road","1","1.4561054578179662","-5.307093997153345E-4","1.6988781523542464","16","2","2.3333333333333335"
"21","4","100","0.05","backing footway","1","1.439902766035269","1.9466081296204223","1.3675162855231042","9","2","1"
"23","4","100","0.05","backing footway","1","0.7489822407344366","0","0.7489822407344366","5","0","0.8333333333333334"
"27","4","100","0.05","backing footway","1","1.2005259056636346","1.544336741939663","0.8567150693876062","3","1","0.5"
"25","4","100","0.05","backing footway","1","0.6379919208066331","0.768809414442913","0.5943860895945399","1","1","0"
"28","4","100","0.05","backing footway","1","0.5651131830876085","0","0.5651131830876085","3","0","0.42857142857142855"
"24","4","100","0.05","backing footway","1","2.7573509153859734","0","2.7573509153859734","15","0","1.6666666666666667"
"26","4","100","0.05","backing footway","1","1.023702337597853","1.3502385294918735","0.914856940299846","9","2","0.8333333333333334"
"31","4","100","0.05","backing building","1","1.2863636775856258","2.260763490325523","1.0914837150376464","8","2","1.2"
"36","4","100","0.05","backing building","1","0.2664508293274235","0.5353807307982521","-0.0024790721434051477","0","0","0"
"29","4","100","0.05","backing footway","1","0.9693739512289296","0","0.9693739512289296","9","0","0.8181818181818182"
"32","4","100","0.05","backing building","1","1.10459425150202","2.710024937342851","0.903915415771916","13","3","1.25"
"30","4","100","0.05","backing footway","1","7.5051977491351485","3.4822174469574847","8.309793809570682","19","3","3.2"
"34","4","100","0.05","backing building","1","1.076528098801938","0.21437893662487184","1.938677260979004","11","3","2.5"
"35","4","100","0.05","backing building","1","0.532318265703585","0.41655093003598154","0.5488564565132427","18","5","1.8571428571428572"
"33","4","100","0.05","backing building","1","0.6568178127969873","0.7408872839721781","0.6327979638897899","29","3.5","3.142857142857143"
"38","4","100","0.05","backing building","1","0.4655706695049448","0.503786378728897","0.4592013846342861","12","3","1.5"
"39","4","100","0.05","backing building","1","1.1516295113090642","0.5606455388380027","1.2698263058032766","7","2","1"
"37","4","100","0.05","backing building","1","1.381678966813512","-0.0035695951365504186","1.9357783915935372","16","2","2.4"
"40","4","100","0.05","backing building","1","0.7512734428811947","0.842305161876034","0.7421702709817108","14","1","1.3"
"43","4","200","0.05","bus flag","1","0.9142625897554946","0.31921809081059394","0.9567657682515589","35","1","2.4285714285714284"
"44","4","200","0.05","bus flag","1","0.7128147669900512","2.316751772078227","0.5670023119820352","26","3","2.090909090909091"
"41","4","200","0.05","bus flag","1","1.4311571566055898","0.894310272361821","1.4695033626230019","70","3","4.785714285714286"
"45","4","200","0.05","bus flag","1","1.2658970661085347","1.524746803870256","1.186250992951082","37","2.25","2.1538461538461537"
"48","4","200","0.05","bus flag","1","0.4199482447635063","0.7557237387292872","0.3826398565450862","20","2","2"
"46","4","200","0.05","bus flag","1","0.4486726813602347","0","0.4486726813602347","13","0","1.1818181818181819"
"49","4","200","0.05","bus flag","1","0.7395373831873631","0","0.7395373831873631","11","0","1.375"
"47","4","200","0.05","bus flag","1","0.5197484130286815","0.3315370477799367","0.5600794198676982","46","4","2.4285714285714284"
"53","4","200","0.05","backing road","1","1.1877668642627304","1.5168594083597142","1.1624520531783469","27","2","1.9230769230769231"
