,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,5.7,5.417051268397268,3.7,3.093002855909879,3.5,4.169998667732268,6.2,5.094659513211413
1,200,18.9,9.596874491208062,22.4,11.335293948058377,11.5,5.317685377847939,21.4,11.01715833496904
2,300,39.4,16.460052652811697,50.9,25.29141268406246,45.2,21.32708241753767,43.3,24.476973305991535
3,400,76.1,19.829551460159433,75.6,33.07298326764948,71.1,23.383042288518975,85.6,34.03984593254075
4,500,99.8,38.06077012124455,119.4,37.54168054013802,107.4,22.051454978451346,118.2,28.700754926191983
5,600,165.9,87.13138227858994,170.4,44.37016014295093,168.3,54.00833269042843,146.2,57.888398377107194
6,700,185.3,44.539745047416794,220.7,77.46260746680011,214.9,55.137101846216034,170.3,35.84860139841194
7,800,236.5,66.21723508439644,267.0,61.04461028169845,244.6,53.72191772865563,284.8,82.0593281311353
8,900,329.2,62.01218518251966,315.6,114.90885276794144,331.1,53.712092575963645,313.3,92.65593463034206
9,1000,377.0,49.58494395143214,421.1,108.22040267692388,387.2,110.6624497188535,346.2,88.41543354465266
10,1100,406.6,79.59927414521093,504.2,101.73254696070039,382.8,84.42195606989137,486.6,85.2515232838817
11,1200,515.9,127.15646529636889,545.3,83.63684727572065,540.5,112.4833320985825,430.6,125.14009926655982
12,1300,548.5,74.29857184211401,634.0,86.99042092859037,520.7,70.26623972039805,637.3,62.30578713980838
13,1400,637.9,163.73043564211133,696.6,99.46881141566156,660.1,146.75258846855894,667.4,166.47735915466436
14,1500,706.2,98.88242176106597,889.8,173.81842377735578,738.9,93.49800948564508,750.5,236.2523368491128
15,1600,815.5,177.1705079545941,833.5,165.21585207775246,734.7,84.21539843361981,761.2,124.96826263762598
16,1700,861.6,169.4928382623355,877.6,147.40963333513858,875.4,238.1923592393341,896.4,128.32268354079537
17,1800,984.5,163.96832349911708,1107.2,155.08549613394254,919.6,101.8039510257065,1027.1,138.33008028303573
