,scenario,bus flag,backing road,backing footway,backing building
0,narrow-low,5.2325,8.8404761903,7.1523809526,8.5338888888
1,narrow-mid,13.476944446000001,20.389166666,16.4345238103,15.320833333
2,narrow-high,20.113333333,25.444679487000002,29.163333333,23.458095237
3,mid-mid,9.8416486285,10.8986111106,11.890628656,10.7826623371
4,mid-high,14.888232322,17.477777778,13.4786724395,16.098284631
5,wide-high,10.406977123899999,13.1072416476,11.4197546889,10.7926923083
