,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,0.5833333333,0.7168604388814697,0.5,0.7453559924999299,0.5,0.7453559924999299,0.7,0.6324555320336759
1,200,2.195,1.0015435619181787,1.4333333333,0.9564595207441987,1.2583333333,1.330117650015717,2.0416666667,1.2166856923512426
2,300,2.5166666667,1.3015897213227703,2.525,1.0715527558721893,3.1541666666,2.3169106253292506,2.5166666667,1.7807093883899192
3,400,3.1178571429,1.8267887205704134,3.3833333334,1.5922324207800882,3.045,0.9887343824616035,3.38,1.5107189033170618
4,500,4.4153571429,1.8288954093834462,4.5922619048,2.2061979828360583,4.8233766234,1.2157705492113937,4.5461904762,1.257315303975805
5,600,4.6991666667,2.069787257135395,6.210714286,1.8471025748772496,4.7457142857,1.385019462532146,5.4604761905000005,1.6710298896235198
6,700,5.8929112554,2.0795977711572045,7.0624999997,3.0386635343181307,6.2737301588,1.7705647975356578,4.8864285714,2.7850648295478555
7,800,6.1955555556,1.4716917284132571,6.7347619048,1.3073908555910987,6.0273015874,1.3268534909275083,7.3966666667,1.3291090491894504
8,900,7.2002747254,1.3853193627154636,7.5508333334,2.858321800466244,7.6610195360999995,1.50636819323303,7.4794047616,2.638088435848566
9,1000,7.748629149,1.8529913717493438,9.3288888887,2.708365507057257,6.7806547619,1.1995885498864964,7.508174603700001,1.8070206113347889
10,1100,7.8875829725,1.2768758335768038,10.9382711733,2.0234939927826,8.1807781103,1.645507787293164,8.6499066296,1.2774010200747936
11,1200,9.1117438125,1.657968447505367,9.4709126983,2.2560826861684924,10.2227220501,2.134797280145851,7.9749206348,2.0762627962230886
12,1300,10.0952176989,2.044896419803994,12.571525974,2.690831029668869,8.192195484199999,1.1333817750432644,10.5612121213,1.608225029664492
13,1400,9.8303502053,2.031725602227738,12.062061549,1.0899024004017777,10.7379096782,1.9958819163645833,10.8244172505,1.438708896604848
14,1500,11.0950961533,1.858757785667062,13.373111888,3.214403215266665,10.6433523342,1.7625346382222944,10.887433816,2.1659160676249103
15,1600,11.093611111,1.8884958066580997,15.145028583,2.493584171146396,11.8974999997,2.618863491248802,11.688495564,2.383047551275718
16,1700,12.6410772123,1.9958702534106416,14.604875124,2.1479216131722643,11.2671969703,1.9590813988592863,13.916247086,1.7673901676285309
17,1800,13.320582868,2.201501774637126,14.754835164,3.5612373041240875,11.9800933707,2.3050526715794644,14.397376601,2.0219339641133076
