,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,0.8092857143,0.40446993822962474,0.4736363636,0.4838329267986615,0.34,0.4210881056460195,0.6316666667,0.5651641298719785
1,200,1.0506927793,0.4534678087623961,1.3937260615,0.427797041381541,0.9426839828,0.44463241410175297,1.5015140414,0.8803005662117888
2,300,2.0274962293,0.8118969518446689,2.2356653571,0.8556514948620569,2.1380327568,0.7069663066387454,2.0750057217999998,0.9817570180881315
3,400,2.6254803638,0.40206664324675223,2.9680488222,0.8386256739365869,2.5009610389,0.5166068335708502,2.7506570805,0.984678224408153
4,500,2.9156626403,0.66000441631597,3.8071161732,0.89363006511491,3.1187596006,0.620078538362593,3.4795328104,0.5417092096996803
5,600,4.0643570748,1.2907368780189201,4.4305896217,0.516601755001163,4.0317856936,0.8246421137867646,3.5996690069,1.1119375437112966
6,700,4.1840485448,0.6243332696173305,4.555099344699999,1.0572137660890941,4.6331960119,0.7625628327174194,4.068679088,0.689807992744218
7,800,5.0011440913000005,1.0344693627315344,5.4002247986,1.1222309007328488,4.8632545952,0.684596281519593,5.4990406637,1.206707528597846
8,900,5.5912727036,0.8004047157895782,6.1498005707,1.3466354256965831,5.3048573322,0.5955063853930184,5.9147090358,1.2944783886187172
9,1000,5.9932847065,0.6379144561178578,6.8826008245,1.2152161819093077,6.0268452372,1.2269997838447686,5.9734425632,1.1552191669558944
10,1100,6.1766714136,0.6816784827221812,7.8102644282,1.483787456842814,5.8743156515,0.943769796931093,7.0572151069,0.8059627478257516
11,1200,7.1334117867,1.11208018421725,8.0929132762,1.48308551848104,7.2649922055000005,1.007692055125739,6.7247471645,1.0756458573982972
12,1300,7.8293173782,0.8122323012483869,9.0289553126,1.035155939644795,7.1352911128,0.6278951328927346,8.231747821999999,0.520359575167133
13,1400,8.0718228343,1.6620410679856061,9.5091811103,1.061020918790806,7.8869162421,1.2847982959293773,8.3393309638,1.1328024887634522
14,1500,8.5434721897,1.08414604728529,10.4643151191,2.0701897153083126,8.311707796,0.7326640477079652,8.8685832812,1.8699077359698317
15,1600,9.0945138355,1.3785221147687476,10.2163520994,1.5762408662288099,8.81272262,0.7346140142702109,8.9045434919,1.4861103969930407
16,1700,9.5384751277,1.2329202641718735,10.4932375749,1.3613439459793981,8.9392848922,1.4684533019533699,10.3376311142,1.0592477579722992
17,1800,10.4778635247,1.1955042844213408,11.8217787865,1.85518717151579,9.540077095000001,0.8351215213511783,11.1370161148,0.8548865672137007
