,[run number],sidewalk_width,pedestrian_flow,disabled-proportion,bus_stop_type,second,average_speed,density,mean_delay,mean_delay_disabled,mean_delay_non_disabled,total_conflict_incidents,mean_conflict_disabled,mean_conflict_non_disabled
153,36,6,1000,0.05,backing building,180,0.353846182,0.11666666699999999,4.178234119,4.379449941,4.15483693,441,12.0,8.860465116
154,38,6,1000,0.05,backing building,180,0.7882856490000001,0.13888888900000002,2.999511444,2.5554368519999997,3.132733822,437,11.33333333,7.525
155,35,6,1000,0.05,backing building,180,0.5295647920000001,0.17222222199999998,3.654089255,5.603266842000001,3.041490584,424,11.09090909,8.628571428999999
156,37,6,1000,0.05,backing building,180,0.480829399,0.166666667,5.093279469,1.220824029,5.885372627000001,463,6.666666667,9.159090909
157,39,6,1000,0.05,backing building,180,0.55882308,0.166666667,2.3653451430000003,2.208452105,2.393237239,425,10.75,7.533333333
158,19,6,1000,0.05,backing road,180,0.348402111,0.238888889,9.320719209,2.245356321,9.609509531,676,16.5,13.12244898
159,40,6,1000,0.05,backing building,180,0.527271584,0.105555556,9.529577833,11.90003306,9.168856384,538,13.57142857,9.630434783
160,2,6,1500,0.05,bus flag,180,0.6179248620000001,0.15,2.130495324,2.362487894,2.093671107,646,9.1,8.80952381
161,4,6,1500,0.05,bus flag,180,0.59784071,0.15555555599999998,2.798168364,2.114563818,2.912102454,953,15.08333333,10.72222222
162,3,6,1500,0.05,bus flag,180,0.50210674,0.15555555599999998,3.7437838489999997,2.440621794,4.00793832,983,13.4,10.56756757
163,1,6,1500,0.05,bus flag,180,0.424149758,0.12222222199999999,5.525286993,13.21014394,4.537233957,921,19.11111111,10.7
164,6,6,1500,0.05,bus flag,180,0.622438181,0.2,5.04181368,8.358273612,4.453409499,839,16.45454545,10.61290323
165,5,6,1500,0.05,bus flag,180,0.43168062100000004,0.18888888899999998,6.091713171,6.016480108,6.104643854,974,20.0,11.78125
166,9,6,1500,0.05,bus flag,180,0.7663472370000001,0.161111111,2.192025609,0.813511278,2.318994035,806,13.0,9.407894737000001
167,10,6,1500,0.05,bus flag,180,0.90690954,0.144444444,3.03933507,3.609334708,2.954260497,730,13.1,8.940298507
168,7,6,1500,0.05,bus flag,180,0.642862146,0.17222222199999998,5.984100936,7.733925225,5.567476106,979,14.73333333,12.03174603
