,scenario,bus flag,backing road,backing footway,backing building
0,narrow-low,6.0016825397,7.4879625741,4.9614350602,6.9696985472
1,narrow-mid,10.5072642283,11.6071043949,11.0230804862,11.777492119
2,narrow-high,15.672944960999999,13.235278298999999,10.5243181818,15.258822095
3,mid-mid,7.9631387955,9.8551321225,8.7910067964,8.6243546108
4,mid-high,10.5294336334,12.741595277,11.0079681928,12.024418325700001
5,wide-high,8.2814082409,8.6875193652,8.5233661426,8.5145265957
