,scenario,bus flag,backing road,backing footway,backing building
0,narrow-low,3.0545546571999997,6.7492377417,3.417921883,4.1891890795
1,narrow-mid,5.8952409679999995,11.8134512416,14.9405174288,5.5564369577
2,narrow-high,9.0889451138,7.3040021563,7.8721882108,8.8530215166
3,mid-mid,3.4782003296,5.1367169691,3.2721898809,4.120582047
4,mid-high,3.852840792,7.8735632269,4.3187297427999995,5.083232117
5,wide-high,3.155634695,3.9638307907,3.1068166556,3.5483515949
