,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,0.4916834277,0.8613861153494825,0.22292201330000003,0.46273423951356973,1.1198265465,1.1836695817357226,0.8781153794000001,0.8867578202599578
1,200,0.6955549033,0.7527318850079614,2.3893964423000003,0.9739057704198814,1.2682781929,1.2795364322367742,2.154493334,2.94458245233993
2,300,1.7177926884,1.3987615911695594,4.0942229341,4.143584148559413,3.2201812423000002,2.8250819292403553,2.2281245931,1.6421295991896425
3,400,3.5284832164999997,2.8446202072548568,7.1382559022,8.777986569419141,2.9747831970000003,1.2361809063935418,3.5608957449,3.8598569076931213
4,500,2.7705397269,1.3892476025593772,5.6031370127,6.407636211066941,3.7761087195000003,2.1522467359896855,3.6503904214,2.925058287918297
5,600,4.3728739299,3.4216675254753395,5.1183913256,3.91341878279891,3.1825033181,1.6536178427802344,4.2157266052999995,3.6336024260459125
6,700,3.3311180443,1.9045802967294436,5.4679489339,4.05521133470918,4.2259203472,3.3851831617539374,5.6667163599000006,5.497084497315387
7,800,3.0907791682,1.6155731233421617,6.5914558219,3.006802755848871,5.2660719886,2.308323504765341,5.6841492185,3.0712540562565
8,900,4.55870484,3.2197024763350695,6.2296308304000005,1.4364192822978354,7.0644761102,5.03278756703543,6.2359696413000005,3.5927862076144237
9,1000,4.9913976151999995,3.590505257577075,7.1438195008,4.204929108282137,11.8626862654,8.267605912477919,5.8059049514000005,4.0788671849095515
10,1100,4.2425559609,1.661854890558037,7.2656071993,3.679403638637751,8.052964701,4.111771866332458,5.3926697022,3.808692021253159
11,1200,7.515047253,6.665505517877465,7.4085478442,3.837660179965894,9.2868713392,3.9502768641254042,6.481672036400001,5.289960768101
12,1300,5.187683484,1.6010859794516128,10.4242444563,6.986285366352439,7.9065291209,2.8653193357701623,5.6293975197999995,3.642589172480785
13,1400,6.6379169556,3.8986196637770547,8.070252014,3.3442172446126377,6.9520873703,2.4093756327638034,8.4294006371,3.985880889846867
14,1500,6.2585899447,3.639256544220345,10.3247286824,3.44410561326149,10.0352239577,2.763205118535702,9.1157923512,4.103598630368781
15,1600,8.8774779144,4.304135009722651,9.5732385242,2.2360555362822834,10.2861524599,4.887701294414469,8.4354405011,4.6508317710419425
16,1700,7.6211418241,3.487045613798274,9.0770033713,3.089786260411527,13.2699110984,6.308899060767717,7.4013053724999995,2.869554074621626
17,1800,5.5206866892,2.3256403493986273,10.7675547037,3.1768189187429807,14.3630690508,6.386262813212763,8.094650593099999,3.322003757581406
