,scenario,bus flag,backing road,backing footway,backing building
0,narrow-low,1.2520224549,4.0005905377,3.1016593297,4.2799647317
1,narrow-mid,5.7124804326,8.6561671794,11.2668466527,6.2416548418
2,narrow-high,7.3657575638,8.8315676617,13.4685136724,7.2310699211
3,mid-mid,2.3328434515,2.8928325879,3.8245466049,3.715791484
4,mid-high,5.109172099,9.1001240669,4.0426921912000005,5.696644492
5,wide-high,3.7408286127,4.7191526526,3.8978524041,2.8703751692
