,scenario,bus flag,backing road,backing footway,backing building
0,narrow-low,2.88653337,6.4725100169,3.3928186728,4.1374249854
1,narrow-mid,5.8653293016,11.0666075004,14.370272854100001,5.7292204113
2,narrow-high,8.9481694589,7.7767163793,9.8294151901,8.4430430779
3,mid-mid,3.3461190905000002,4.8708190513,3.3385495331,4.0578965096
4,mid-high,4.0286476657,7.9187711243,4.2899466479,5.1391071575
5,wide-high,3.2351762,4.0231504362,3.2158780723,3.4447971682
