,scenario,bus flag,backing road,backing footway,backing building
0,narrow-low,0.095,0.15750000009999998,0.10250000009999999,0.0858333332
1,narrow-mid,0.19250000009999998,0.4283333334,0.4141666666,0.2741666667
2,narrow-high,0.4525000001,0.6391666668,0.7274999998,0.5883333334
3,mid-mid,0.12055555550000001,0.1549999999,0.12722222219999998,0.14277777789999999
4,mid-high,0.17444444439999998,0.2244444444,0.19,0.2072222223
5,wide-high,0.1224999999,0.1520833333,0.1316666668,0.1483333333
