,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,0.5983571579,0.6131362575621171,0.9402651079,0.4828737206954348,1.8560563184,2.3570347876001807,0.9520228095,0.6259621284732936
1,200,0.8519097431,0.3808339847686641,2.5068704913,2.580844160664522,1.7764500865,0.862508229566192,2.1392206981,1.7736010794309884
2,300,1.9658207646,1.2136203210488725,2.9333045926,2.0319903145022256,3.7093497067000003,2.3991325988841767,1.94260181,0.9076080721460625
3,400,3.2106713232,2.9204853618544853,6.4701587184,7.055607243131783,3.6508342702,1.1700079766071116,3.7651456385,2.8461134779474344
4,500,2.5587760956,1.2795290720011552,4.5533838466,2.813885153380797,6.3763294304,9.05799922787358,4.3319366689,2.6359338138704427
5,600,4.7357889898,2.6157914130497093,7.8789858538,4.855181085961159,3.4378855017000003,0.6496574302516034,6.043245241099999,4.4299253929909765
6,700,5.3543909782,2.6363840138112917,8.1636712861,5.9052757862337435,4.5972565852,1.7338695517802623,6.8615480235,3.4438813238196486
7,800,4.764699773699999,2.3843434921434783,7.3816962168,4.96113913841026,6.16791362,2.461572190471947,5.9055897802,2.3060596704484837
8,900,6.5501008874,4.218927680888292,6.363623727599999,2.9292952618444255,6.1385518878,1.4959766139923492,8.7538835279,4.898665473915439
9,1000,5.0418775011,2.395862523189317,6.276987795,3.9054194246548324,12.3111672521,9.022111805796134,5.8999034549,2.924244081931494
10,1100,5.1127410537,1.4263259114990516,8.7085518113,4.0427198359303045,13.1360458689,10.672414838499899,7.5663553748,4.5208043145966315
11,1200,6.7595780973999995,2.1010117075195684,7.4217774756,3.0419958947585486,7.7579306218,4.573485074935307,6.0355672464,2.5457526559704955
12,1300,9.7812741394,3.28632295846481,9.0390387841,5.404663300382516,10.429305918,4.0291910654603935,7.0642506511,2.322493400805469
13,1400,6.7784541713,2.5043552116612666,10.078069575999999,7.934065985999112,9.5572684313,9.107030112404294,8.3433134852,2.9326617371220114
14,1500,5.8975114955,1.6023018402890108,8.7001860172,4.585403230394243,13.1749816714,16.13058333362989,8.4048362369,2.535964662464588
15,1600,8.6902926525,3.8433054470065526,8.3035704476,3.738467955981227,10.5007668353,6.1381989663852785,8.1217267625,4.6014851266956915
16,1700,9.9480142042,5.112527526408171,8.293358355,3.765056283218444,6.2570526862,1.728218799843181,8.0691787655,4.472230343436137
17,1800,7.1812884633,3.5533653069187743,9.3852713872,3.7311567001355725,8.0136149949,5.578987162238579,8.4914172608,4.117045620866669
