,scenario,bus flag,backing road,backing footway,backing building
0,narrow-low,0.5756789241,0.4394093215,0.4952992668,0.6584392044999999
1,narrow-mid,0.5239688437,0.2574214474,0.2583474723,0.3379113551
2,narrow-high,0.3663232306,0.19472403,0.174142032,0.2460500161
3,mid-mid,0.5003362419,0.4830320246,0.5604990426,0.5137843085
4,mid-high,0.5886983784,0.5027207104,0.5876693446,0.5184335753
5,wide-high,0.5894661968,0.5208232082,0.6318317085,0.5175244786
