,pedestrian_flow,bus flag_mean,bus flag_stdv,backing road_mean,backing road_stdv,backing footway_mean,backing footway_stdv,backing building_mean,backing building_stdv
0,100,5.3,3.7727090178455764,4.6,3.777124126457412,9.1,6.903300337922113,9.6,6.04060335470629
1,200,26.8,20.530735766433484,34.9,11.29847580674294,33.1,21.82480749565096,32.4,11.32548748031036
2,300,45.0,15.888500383750648,52.9,19.969142862593444,57.3,27.268418851606828,69.2,57.57082594509133
3,400,104.8,32.87957826169105,111.6,37.154930882574504,109.8,33.044750801837736,108.1,29.557664920550735
4,500,163.1,70.44690672177641,163.7,56.90547718219515,143.6,42.99147202256125,123.6,38.53483272746014
5,600,217.2,64.60959681038105,240.6,68.76724026259403,189.7,68.9509487486092,207.9,58.63720851321473
6,700,239.7,36.35335839598133,260.4,95.51288452931945,248.4,80.82106436099716,262.0,59.626615980896766
7,800,309.4,55.65009733444617,400.3,121.36908813843645,368.4,186.94812114594785,318.0,79.67852073593401
8,900,417.2,126.78923894049964,361.2,80.211941477286,413.1,115.28173219455795,424.5,157.98189066401812
9,1000,421.4,63.88566175424481,521.9,149.15275540346025,459.1,100.25683684085257,476.0,113.48910863064252
10,1100,499.6,127.6611835201984,586.4,113.19030190102174,612.6,184.15102497678365,595.1,164.27649456531103
11,1200,583.1,117.59766626558161,625.7,159.31732834538468,608.0,82.72712842700257,646.0,71.95214459007536
12,1300,690.2,113.52708927828635,777.7,144.7718895366086,775.2,125.0606963749114,752.6,130.21452385284147
13,1400,775.5,178.1436686123497,755.8,214.8409230622095,870.9,174.0098656206979,812.1,143.09550035630826
14,1500,928.9,132.7348652180144,960.6,188.45465119109042,853.3,178.66545397598395,848.6,222.95201277404965
15,1600,994.8,133.26564948753048,981.9,189.03288955452524,917.0,186.14510468986285,962.4,157.42243239837904
16,1700,964.6,168.50928098409824,1136.6,278.6934596370077,1028.3,182.50726012956306,1154.6,175.66457936773836
17,1800,1064.4,287.04556355316754,1050.7,241.52802919928132,1052.1,173.02565641481547,1129.4,246.29395264827576
